number,doi,title,note
1,10.1007/s10532-020-09917-8,Transcriptomic response of Gordonia sp. strain NB4-1Y when provided with 6:2 fluorotelomer sulfonamidoalkyl betaine or 6:2 fluorotelomer sulfonate as sole sulfur source,source_id=zotero_stage2_4j_src_006; zotero_item_key=YN52REUU
2,10.1021/acs.est.3c06289,Oxidative Transformation of Nafion-Related Fluorinated Ether Sulfonates: Comparison with Legacy PFAS Structures and Opportunities of Acidic Persulfate Digestion for PFAS Precursor Analysis,source_id=zotero_stage2_4j_src_032; zotero_item_key=4U9KW84R
3,10.3390/toxics12120930,Probable New Species of Bacteria of the Genus Pseudomonas Accelerates and Enhances the Destruction of Perfluorocarboxylic Acids,source_id=zotero_stage2_4j_src_033; zotero_item_key=3DGSXJET
4,10.1021/acs.est.1c07608,Accelerated Degradation of Perfluorosulfonates and Perfluorocarboxylates by UV/Sulfite + Iodide: Reaction Mechanisms and System Efficiencies,source_id=zotero_stage2_4j_src_037; zotero_item_key=3DV9A5VL
5,10.1021/acs.est.2c03734,PFAS and Precursor Bioaccumulation in Freshwater Recreational Fish: Implications for Fish Advisories,source_id=zotero_stage2_4j_src_039; zotero_item_key=5FRPFKR5
6,10.3390/toxics13070546,Exposure to Environmental Chemicals from Environmental Tobacco Smoking in Korean Adolescents,source_id=zotero_stage2_4j_src_050; zotero_item_key=TVAV2K8T
7,10.1021/acs.est.2c03669,"Biotransformation of 8:2 Fluorotelomer Alcohol in Soil from Aqueous Film-Forming Foams (AFFFs)-Impacted Sites under Nitrate-, Sulfate-, and Iron-Reducing Conditions",source_id=zotero_stage2_4j_src_079; zotero_item_key=4HEVQJCJ
8,10.1007/s00216-025-06208-0,Characterization of per- and polyfluoroalkyl substances (PFAS) in AFFF-contaminated soil by photocatalytic oxidation (PhotoTOP),source_id=zotero_stage2_4j_src_089; zotero_item_key=EHJ7GUU5
9,10.1039/C6EM00071A,"Biotransformation of 8:2 fluorotelomer alcohol by recombinant human cytochrome P450s, human liver microsomes and human liver cytosol",source_id=zotero_stage2_4j_src_103; zotero_item_key=MQHTT9R3
10,10.1021/acs.est.2c07178,Nitrifying Microorganisms Linked to Biotransformation of Perfluoroalkyl Sulfonamido Precursors from Legacy Aqueous Film-Forming Foams,source_id=zotero_stage2_4j_src_150; zotero_item_key=TGRDEBUX
11,10.1039/D4RA02448F,Electrocatalytic water treatment of per- and polyfluoroalkyl substances reduces adsorbable organofluorine and bioaccumulation potential,source_id=zotero_stage2_4j_src_159; zotero_item_key=CBAXZ52U
12,10.1007/s10653-024-02158-1,Identification of serum metabolites associated with polybrominated diphenyl ethers (PBDEs) exposure in papillary thyroid carcinoma: a case–control study,source_id=zotero_stage2_4j_src_160; zotero_item_key=XQZCWLDX
13,10.3390/metabo16020135,Untargeted Metabolomics Profiling of a PFAS-Exposed Flemish Population,source_id=zotero_stage2_4j_src_165; zotero_item_key=LZLXKLI6
14,10.1007/s00417-024-06538-2,AI-driven discovery of blood xenobiotic biomarkers in neovascular age-related macular degeneration using iterative random forests,source_id=zotero_stage2_4j_src_168; zotero_item_key=5XMS3Q6B
15,10.3389/fendo.2026.1758118,Association between PFAS compounds in follicular fluid and POR and the intervention effect of Qizi Yusi Tang: a study based on targeted PFAS quantification analysis,source_id=zotero_stage2_4j_src_173; zotero_item_key=SXVWLA7C
16,10.1039/D5EW00528K,Biotransformation and partitioning of structurally different PFAS by wastewater microbial consortia,source_id=zotero_stage2_4j_src_174; zotero_item_key=EE5UFL8N
17,10.5114/pjr/208024,"Correlation between metabolite concentrations in the frontal lobes, determined using 1H-MRS, and IQ in children with foetal alcohol spectrum disorder",source_id=zotero_stage2_4j_src_176; zotero_item_key=2TXWATUX
18,10.1186/s12940-025-01185-4,"Exposure to polycyclic aromatic hydrocarbons, heavy metals, and per- and polyfluoroalkyl substances and their associations with serum lipid profiles in the general Korean adult population",source_id=zotero_stage2_4j_src_178; zotero_item_key=NFLZEH7N
19,10.1021/acsestwater.3c00274,Degradation and Defluorination of Per- and Polyfluoroalkyl Substances by Direct Photolysis at 222 nm,source_id=zotero_stage2_4j_src_182; zotero_item_key=KILGF72M
20,10.1039/D2EM00425A,Nontarget analysis and fluorine atom balances of transformation products from UV/sulfite degradation of perfluoroalkyl contaminants,source_id=zotero_stage2_4j_src_185; zotero_item_key=VEVA5PCW
